PLPZBDT00013;CPR;COMPREMUM;COMPREMUM SPÓŁKA AKCYJNA;GPW
PLCMRAY00029;CRM;CORMAY;PZ CORMAY SPÓŁKA AKCYJNA;GPW
AT0000A21KS2;CPI;CPIEUROPE;CPI FIM SA;GPW
PLCRPJR00019;CRJ;CREEPYJAR;CREEPY JAR SPÓŁKA AKCYJNA;GPW
PLCRTCH00017;CRI;CREOTECH;CREOTECH INSTRUMENTS SPÓŁKA AKCYJNA;GPW
PLR220000018;CBF;CYBERFLKS;CYBER_FOLKS SPÓŁKA AKCYJNA;GPW
PLCFRPT00013;CPS;CYFRPLSAT;CYFROWY POLSAT SPÓŁKA AKCYJNA;GPW
PLCRWTR00022;CZT;CZTOREBKA;CZERWONA TOREBKA SPÓŁKA AKCYJNA;GPW
PLDADEL00013;DAD;DADELO;DADELO SPÓŁKA AKCYJNA;GPW
PLPILAB00012;DAT;DATAWALK;DATAWALK SPÓŁKA AKCYJNA;GPW
PLDBENR00017;DBE;DBENERGY;DB ENERGY SPÓŁKA AKCYJNA;GPW
PLDEBCA00016;DBC;DEBICA;FIRMA OPONIARSKA DĘBICA SPÓŁKA AKCYJNA;GPW
PLDECOR00013;DCR;DECORA;DECORA SPÓŁKA AKCYJNA;GPW
PLDEKPL00032;DEK;DEKPOL;DEKPOL SPÓŁKA AKCYJNA;GPW
PLDELKO00019;DEL;DELKO;DELKO SPÓŁKA AKCYJNA;GPW
PLLCCRP00017;DVL;DEVELIA;DEVELIA SPÓŁKA AKCYJNA;GPW
PLDGA0000019;DGA;DGA;DGA SPÓŁKA AKCYJNA;GPW
PLDGNST00012;DIA;DIAG;DIAGNOSTYKA SPÓŁKA AKCYJNA;GPW
PL4FNMD00013;DIG;DIGITANET;DIGITAL NETWORK SPÓŁKA AKCYJNA;GPW
PLSARE000013;DTR;DIGITREE;DIGITREE GROUP SPÓŁKA AKCYJNA;GPW
PLDINPL00011;DNP;DINOPL;DINO POLSKA SPÓŁKA AKCYJNA;GPW
PLGLBLC00011;DMG;DMGROUP;DR. MIELE COSMED GROUP SPÓŁKA AKCYJNA;GPW
PLDMDVL00012;DOM;DOMDEV;DOM DEVELOPMENT SPÓŁKA AKCYJNA;GPW
PLDRG0000013;DGE;DRAGOENT;DRAGO ENTERTAINMENT SPÓŁKA AKCYJNA;GPW
PLDRZPL00032;DPL;DROZAPOL;DROZAPOL-PROFIL SPÓŁKA AKCYJNA;GPW
PLECBDZ00013;ECB;ECBSA;ELEKTROCIEPŁOWNIA BĘDZIN SPÓŁKA AKCYJNA;GPW
PLECHPS00019;ECH;ECHO;ECHO INVESTMENT SPÓŁKA AKCYJNA;GPW
PLEDINV00014;EDI;EDINVEST;ED INVEST SPÓŁKA AKCYJNA;GPW
PLEFEKT00018;EFK;EFEKT;KORPORACJA GOSPODARCZA EFEKT SPÓŁKA AKCYJNA;GPW
PLEKEP000019;EEX;EKOEXPORT;EKO EXPORT SPÓŁKA AKCYJNA;GPW
PLELEKT00016;ELT;ELEKTROTI;ELEKTROTIM SPÓŁKA AKCYJNA;GPW
PLELKOP00013;EKP;ELKOP;ELKOP SPÓŁKA AKCYJNA;GPW
PLELZAB00010;ELZ;ELZAB;ZAKŁADY URZĄDZEŃ KOMPUTEROWYCH ELZAB SPÓŁKA AKCYJNA;GPW
PLEMCIM00017;EMC;EMCINSMED;EMC INSTYTUT MEDYCZNY SPÓŁKA AKCYJNA;GPW
PLENAP000010;ENP;ENAP;ENERGOAPARATURA SPÓŁKA AKCYJNA;GPW
PLENEA000013;ENA;ENEA;ENEA SPÓŁKA AKCYJNA;GPW
PLENLMD00017;ENE;ENELMED;CENTRUM MEDYCZNE ENEL-MED SPÓŁKA AKCYJNA;GPW
PLENERG00022;ENG;ENERGA;ENERGA SPÓŁKA AKCYJNA;GPW
PLERGIN00015;ENI;ENERGOINS;ENERGOINSTAL SPÓŁKA AKCYJNA;GPW
PLENTER00017;ENT;ENTER;ENTER AIR SPÓŁKA AKCYJNA;GPW
PLRESBD00032;EQU;EQUNICO;EQUNICO SE;GPW
PLERBUD00012;ERB;ERBUD;ERBUD SPÓŁKA AKCYJNA;GPW
PLERGZB00014;ERG;ERG;ERG SPÓŁKA AKCYJNA;GPW
PLESTHN00018;EAH;ESOTIQ;ESOTIQ & HENDERSON SPÓŁKA AKCYJNA;GPW
HU0000089198;EST;ESTAR;ENEFI ENERGIAHATÉKONYSÁGI NYRT.;GPW
PLERPCO00017;EUC;EUCO;EUROPEJSKIE CENTRUM ODSZKODOWAŃ SPÓŁKA AKCYJNA;GPW
PLEURCH00011;EUR;EUROCASH;EUROCASH SPÓŁKA AKCYJNA;GPW
BG1100114062;EHG;EUROHOLD;EUROHOLD BULGARIA AD;GPW
PLERTEL00011;ETL;EUROTEL;EUROTEL SPÓŁKA AKCYJNA;GPW
PLK2ITR00010;FAB;FABRITY;FABRITY HOLDING SPÓŁKA AKCYJNA;GPW
